              T              E              M            |M|             Cv              X              A
           3.05     -1.3892444   0.0020444444     0.79797778     0.37611867     0.14579719       0.306395
           3.06     -1.3810889   -0.014155556     0.79392222     0.37767721     0.14869826        0.31003
           3.07     -1.3729333   0.0081833333     0.79198333     0.37809474      0.1483513       0.312445
           3.08     -1.3674667   0.0038888889     0.79028889     0.37753763     0.14851245      0.3159675
           3.09     -1.3724667  -0.0068888889     0.79174444     0.37287778     0.14748171        0.31506
            3.1     -1.3587556  -0.0081333333     0.78757778     0.37431611     0.14832132       0.320015
           3.11     -1.3632222   -0.015316667     0.78948333     0.37105703     0.14673378        0.31943
           3.12     -1.3500667         -0.004     0.78455556     0.37283037     0.14888935       0.324435
           3.13     -1.3532444         -0.001     0.78627778     0.37012004      0.1471857      0.3236375
           3.14     -1.3408222  -0.0088611111     0.78159444     0.37223786     0.14932288       0.329195
           3.15        -1.3464  -0.0095833333     0.78428333     0.36797462     0.14690961      0.3266025
           3.16         -1.336   0.0032555556     0.77984444     0.36959604     0.14935074       0.332375
           3.17     -1.3396222    0.011038889     0.78106111     0.36608145     0.14835147       0.330255
           3.18     -1.3398222  -0.0023888889     0.78076667      0.3634828      0.1482922      0.3308525
           3.19     -1.3380444  -0.0036833333     0.78171667     0.36059803     0.14578843      0.3328875
            3.2     -1.3233333 -0.00011666667     0.77602778     0.36395399     0.14861847      0.3387125
           3.21     -1.3275778  -0.0072722222     0.77746111       0.361135     0.14769996        0.33765
           3.22     -1.3148667  -0.0038055556        0.77285     0.36105135     0.14910985      0.3415325
           3.23        -1.3212  -0.0093555556     0.77555556     0.35996703      0.1476398      0.3400025
           3.24     -1.3143778         0.0027     0.77316667     0.35821519     0.14793138        0.34315
           3.25     -1.3070667   0.0026777778     0.77121111     0.35840802     0.14787703       0.344925
           3.26     -1.3064667  -0.0037611111     0.76992778     0.35497943     0.14859931      0.3474025
           3.27     -1.3018667    0.014927778     0.76782778     0.35548775     0.14973694       0.349265
           3.28     -1.2954222   -0.012111111     0.76671111      0.3542258     0.14861608      0.3519425
           3.29     -1.3010444   0.0093944444     0.76917222     0.34962107     0.14652372      0.3512175
            3.3     -1.2879111   0.0015666667     0.76407778     0.35210957     0.14884395        0.35641
           3.31     -1.2837778   -0.017305556     0.76350556     0.35110756     0.14790982       0.357435
           3.32     -1.2733333   0.0059444444     0.75911111      0.3511395     0.14973934      0.3625125
           3.33     -1.2817778   -0.010033333     0.76308889      0.3473428     0.14694136      0.3597075
           3.34        -1.2784   -0.020888889         0.7612     0.34597635     0.14781384       0.362855
           3.35        -1.2664    0.013561111     0.75817222     0.34719455     0.14767482      0.3654375
           3.36     -1.2725778        -0.0014     0.75851111     0.34281747     0.14842567       0.364345
           3.37     -1.2616222  -0.0041611111     0.75587222     0.34441262      0.1482413      0.3684225
           3.38     -1.2550444  -0.0066611111     0.75319444     0.34250944     0.14883079       0.371165
           3.39     -1.2559556   -0.010877778     0.75322222     0.34104127     0.14877831      0.3723175
            3.4     -1.2522667  -0.0099555556     0.75165556     0.34002513     0.14917978       0.374155
           3.41     -1.2480444  0.00090555556     0.75063889     0.33824063     0.14858864        0.37673
           3.42     -1.2439333   0.0029222222     0.75074444     0.33759557     0.14696491       0.378785
           3.43     -1.2504667   -0.016227778     0.75108333     0.33459218     0.14805824      0.3744925
           3.44     -1.2510889   -0.010694444     0.75270556     0.33353574     0.14612844       0.377075
           3.45     -1.2335333       -0.00555     0.74651667     0.33347839     0.14757369      0.3831775
           3.46     -1.2348889   0.0012777778     0.74668889     0.33178689     0.14743755       0.382225
           3.47     -1.2265333  -0.0062166667     0.74457222     0.33248692     0.14731154        0.38576
           3.48     -1.2281556   0.0011388889     0.74501667     0.32924889     0.14661258        0.38594
           3.49     -1.2327333   0.0013722222        0.74645     0.32565019     0.14565254      0.3837425
            3.5     -1.2205111   0.0020888889     0.74218889     0.32684893     0.14683186      0.3881725
           3.51     -1.2165556   0.0056666667     0.74164444     0.32745525     0.14631487      0.3915525
           3.52     -1.2203111  -0.0059055556     0.74162778     0.32348941     0.14663752      0.3921825
           3.53     -1.2103333  -0.0069166667     0.73921667     0.32443667     0.14638382       0.393305
           3.54     -1.2075556        0.00395     0.73821667     0.32263633     0.14621474      0.3953975
           3.55     -1.2072444   0.0095944444     0.73831667     0.32072111      0.1455739       0.394755
           3.56        -1.2028 -0.00035555556     0.73722222      0.3201984     0.14527223      0.3997125
           3.57           -1.2  -0.0030444444     0.73636667     0.31784043     0.14480886        0.40015
           3.58     -1.1879111 -0.00076111111     0.73117222     0.31830761     0.14681684      0.4035825
           3.59     -1.1988889  -0.0083166667     0.73612778     0.31491544     0.14405671       0.400995
            3.6     -1.1936667    0.012627778     0.73333889     0.31517281     0.14551872        0.40386
           3.61     -1.1874444   0.0014666667     0.73183333     0.31336576     0.14482361      0.4071025
           3.62     -1.1842667   0.0065222222     0.73001111     0.31007099     0.14504653      0.4094825
           3.63     -1.1812444   0.0066166667     0.73066111     0.31104784      0.1436589      0.4102975
           3.64     -1.1779333    0.012861111     0.72746111     0.31069307     0.14594969      0.4098475
           3.65     -1.1754889  -0.0043277778     0.72812778     0.30858515     0.14402977       0.412665
           3.66     -1.1763556  -0.0046277778     0.72809444     0.30609349     0.14374394      0.4138025
           3.67     -1.1605111   0.0010555556     0.72311111     0.30706873     0.14444358      0.4177275
           3.68     -1.1648222        0.00465        0.72395     0.30622187     0.14464282      0.4170925
           3.69     -1.1622444  -0.0047611111     0.72401667     0.30415923     0.14333319      0.4185325
            3.7     -1.1537333 -1.1111111e-05     0.71996667     0.30426409     0.14500084        0.42205
           3.71        -1.1648   -0.011816667        0.72375     0.30116248     0.14364162        0.41803
           3.72     -1.1501556   0.0029555556     0.71961111     0.30134119     0.14362469      0.4254675
           3.73     -1.1507111  -0.0062833333     0.71996111     0.29965397     0.14302997      0.4244525
           3.74     -1.1522222    0.015344444     0.71976667     0.29835491     0.14334801         0.4254
           3.75     -1.1470667   0.0013222222     0.71753333     0.29695186     0.14376453        0.42596
           3.76     -1.1328889  -0.0030222222     0.71312222     0.29717648     0.14413833      0.4316225
           3.77     -1.1368667   0.0083888889     0.71552222     0.29494982     0.14236387        0.43204
           3.78     -1.1349556  -0.0033833333     0.71452778     0.29343719     0.14243686        0.43397
           3.79     -1.1332667  -0.0037333333     0.71422222     0.29169511      0.1418387      0.4334525
            3.8     -1.1254444  -0.0027444444     0.71072222     0.29170739     0.14304857      0.4362225
           3.81     -1.1252667 -0.00083333333     0.71167778     0.29124365      0.1419519        0.43673
           3.82     -1.1228667  0.00076111111     0.71129444     0.28895815     0.14110144       0.437915
           3.83     -1.1230889   0.0040166667     0.70972778     0.28784835     0.14239667       0.438765
           3.84         -1.119  -0.0052222222     0.70972222      0.2865955     0.14096057      0.4399525
           3.85     -1.1148667   -0.010772222     0.70670556     0.28635298     0.14262976       0.441715
           3.86     -1.1122667   0.0068833333     0.70759444     0.28464793     0.14065238        0.44238
           3.87     -1.1075778   0.0031111111     0.70528889     0.28366776     0.14130442      0.4457925
           3.88     -1.1095111   0.0064777778     0.70774444     0.28044266     0.13872626      0.4444175
           3.89     -1.0987778  -0.0017111111         0.7032     0.28097992     0.14020427       0.447385
            3.9     -1.0989111   -0.012044444     0.70274444     0.27979105     0.14036492      0.4509625
           3.91         -1.092  0.00067222222     0.70088333     0.27940465     0.14012935      0.4514625
           3.92     -1.0926444   0.0027444444     0.70053333     0.27841273     0.14037159      0.4534675
           3.93     -1.0913556  -0.0018166667     0.70026111      0.2766217      0.1398286      0.4531775
           3.94     -1.0843333    0.018844444     0.69753333     0.27567463     0.14021153      0.4579625
           3.95     -1.0818222  -0.0022333333     0.69746667     0.27438754     0.13928126      0.4588275
           3.96     -1.0832667 -9.4444444e-05     0.69869444     0.27289732     0.13817168        0.45752
           3.97     -1.0794444   0.0084666667     0.69666667     0.27150162      0.1386454        0.45945
           3.98     -1.0739778    0.010944444     0.69334444     0.27185468     0.14026927       0.462275
           3.99     -1.0788889        -0.0085     0.69663333      0.2696574     0.13805269       0.461165
              4         -1.076  -0.0038777778          0.696     0.26826711     0.13751178      0.4621325
