              T              E              M            |M|             Cv              X              A
          2.307     -1.3343927   0.0022616883     0.29305659      1.9209464      129.19263    -0.19961828
          2.308     -1.3326354  0.00080213394     0.28960562      1.9022895      127.39094    -0.19894795
          2.309     -1.3307085     0.04706172      0.2864901      1.9124893       119.9899    -0.19823018
           2.31     -1.3280403   -0.025007902     0.26706679      1.8730838       123.0929    -0.19722979
          2.311     -1.3260031   -0.033026546     0.26126344       1.821354      112.91659    -0.19640986
          2.312     -1.3237846    0.047454862     0.25536458      1.7482355       106.3075     -0.1955803
          2.313     -1.3217285   -0.015252733     0.25280888      1.7989877       107.3555    -0.19482049
          2.314     -1.3207735   0.0015518853     0.25534746      1.7537502      108.97138    -0.19438845
          2.315        -1.3191    0.025161123     0.24628027       1.731407      106.49197    -0.19375713
          2.316     -1.3170797  -0.0002170002     0.24348168      1.7341758      105.62697    -0.19298203
          2.317     -1.3154855   0.0072412257     0.23793875      1.7189629      101.31155    -0.19236434
          2.318     -1.3142866  -0.0029754838     0.23819783      1.7133871      103.48269    -0.19189943
          2.319     -1.3113879   -0.022096044     0.22740158      1.7030373      96.342887    -0.19077131
           2.32     -1.3100071  -0.0093098624     0.22040646      1.6425836      96.113445    -0.19027095
          2.321     -1.3080654    -0.01134149     0.21576695      1.6455148      92.370788    -0.18949445
          2.322     -1.3073825   -0.016183584     0.22618321      1.6403868      90.299766    -0.18923559
          2.323     -1.3063333   0.0050303986     0.22288173      1.6326068      94.070047    -0.18881798
          2.324     -1.3044008   0.0048137275     0.21482834      1.6200308      87.050727    -0.18805815
          2.325     -1.3021894    0.012592713     0.21101011      1.5969862      83.400187    -0.18722504
          2.326     -1.3008342   -0.016632653     0.20943007      1.5703406      83.451243    -0.18665736
          2.327     -1.2987971   -0.013728008     0.20169147      1.5774322      82.548443     -0.1858764
          2.328     -1.2973428  -0.0051669941     0.19815725      1.5498608      79.311677    -0.18528762
          2.329     -1.2961083   0.0023823451     0.19802643      1.5332075      76.071283    -0.18480248
           2.33     -1.2946991   -0.017302534      0.1981778      1.5338352      77.610717    -0.18424342
          2.331     -1.2930108    0.014927258     0.19504052      1.5564045      80.231353    -0.18356627
          2.332     -1.2917198   0.0022334174     0.19233404      1.4970291      74.198439     -0.1830462
          2.333     -1.2897293    0.011662144     0.18065768      1.4891256      68.703998    -0.18229017
          2.334     -1.2886685  -0.0028356838     0.18602417      1.5104611      71.420944    -0.18187637
          2.335     -1.2868134   0.0004382297     0.18147507      1.5141578      69.442726    -0.18116793
          2.336     -1.2849403   0.0023974251      0.1760703      1.4849075      65.998971    -0.18041165
          2.337     -1.2838863   0.0039146962     0.17858464      1.4656786      65.333763    -0.18002169
          2.338     -1.2819684    0.010733629     0.17127659      1.4506335      61.045229      -0.179247
          2.339     -1.2813629 -0.00071904202     0.17305275      1.4563885      65.102506    -0.17898908
           2.34     -1.2795255      0.0200767     0.17316281      1.4251806      60.193879    -0.17826984
