              x              y              z             vx             vy             vz
    -0.46708005    -0.85524032      0.0000000      5.7059604     -3.0042344      0.0000000
    -0.40902410    -0.88345832      0.0000000      5.8930942     -2.6328088      0.0000000
    -0.34921816    -0.90789649      0.0000000      6.0554848     -2.2491153      0.0000000
    -0.28791440    -0.92844062      0.0000000      6.1922514     -1.8548832      0.0000000
    -0.22537314    -0.94499416      0.0000000      6.3026450     -1.4519147      0.0000000
    -0.16186150    -0.95747892      0.0000000      6.3860558     -1.0420730      0.0000000
   -0.097652020    -0.96583562      0.0000000      6.4420187    -0.62727013      0.0000000
   -0.033021128    -0.97002432      0.0000000      6.4702181    -0.20945403      0.0000000
    0.031752341    -0.97002470      0.0000000      6.4704911     0.20940537      0.0000000
    0.096388694    -0.96583621      0.0000000      6.4428293     0.62732981      0.0000000
     0.16060893    -0.95747810      0.0000000      6.3873786      1.0423468      0.0000000
     0.22413627    -0.94498928      0.0000000      6.3044383      1.4525033      0.0000000
     0.28669769    -0.92842804      0.0000000      6.1944583      1.8558801      0.0000000
     0.34802543    -0.90787168      0.0000000      6.0580344      2.2506041      0.0000000
     0.40785838    -0.88341595      0.0000000      5.8959031      2.6348617      0.0000000
     0.46594349    -0.85517444      0.0000000      5.7089346      3.0069104      0.0000000
     0.52203707    -0.82327775      0.0000000      5.4981250      3.3650893      0.0000000
     0.57590599    -0.78787265      0.0000000      5.2645868      3.7078297      0.0000000
     0.62732881    -0.74912115      0.0000000      5.0095397      4.0336633      0.0000000
     0.67609679    -0.70719939      0.0000000      4.7342997      4.3412297      0.0000000
     0.72201480    -0.66229656      0.0000000      4.4402683      4.6292831      0.0000000
     0.76490215    -0.61461373      0.0000000      4.1289211      4.8966965      0.0000000
     0.80459323    -0.56436263      0.0000000      3.8017963      5.1424663      0.0000000
     0.84093808    -0.51176440      0.0000000      3.4604832      5.3657140      0.0000000
     0.87380289    -0.45704835      0.0000000      3.1066109      5.5656876      0.0000000
     0.90307030    -0.40045065      0.0000000      2.7418370      5.7417622      0.0000000
     0.92863963    -0.34221310      0.0000000      2.3678371      5.8934384      0.0000000
     0.95042704    -0.28258188      0.0000000      1.9862947      6.0203405      0.0000000
     0.96836552    -0.22180629      0.0000000      1.5988911      6.1222142      0.0000000
     0.98240486    -0.16013760      0.0000000      1.2072967      6.1989226      0.0000000
     0.99251146   -0.097827841      0.0000000     0.81316270      6.2504421      0.0000000
     0.99866811   -0.035128756      0.0000000     0.41811361      6.2768576      0.0000000
      1.0008737    0.027709310      0.0000000    0.023740150      6.2783575      0.0000000
     0.99914292    0.090438395      0.0000000    -0.36840661      6.2552285      0.0000000
     0.99350560     0.15281388      0.0000000    -0.75682065      6.2078489      0.0000000
     0.98400650     0.21459537      0.0000000     -1.1400456      6.1366838      0.0000000
     0.97070468     0.27554756      0.0000000     -1.5166786      6.0422787      0.0000000
     0.95367293     0.33544095      0.0000000     -1.8853738      5.9252534      0.0000000
     0.93299721     0.39405262      0.0000000     -2.2448445      5.7862965      0.0000000
     0.90877604     0.45116688      0.0000000     -2.5938657      5.6261596      0.0000000
     0.88111990     0.50657581      0.0000000     -2.9312755      5.4456517      0.0000000
     0.85015053     0.56007991      0.0000000     -3.2559761      5.2456339      0.0000000
     0.81600037     0.61148849      0.0000000     -3.5669346      5.0270146      0.0000000
     0.77881184     0.66062020      0.0000000     -3.8631833      4.7907443      0.0000000
     0.73873671     0.70730338      0.0000000     -4.1438194      4.5378113      0.0000000
     0.69593545     0.75137643      0.0000000     -4.4080055      4.2692377      0.0000000
     0.65057660     0.79268813      0.0000000     -4.6549683      3.9860751      0.0000000
     0.60283608     0.83109793      0.0000000     -4.8839986      3.6894013      0.0000000
     0.55289663     0.86647616      0.0000000     -5.0944501      3.3803168      0.0000000
     0.50094708     0.89870427      0.0000000     -5.2857392      3.0599419      0.0000000
     0.44718184     0.92767500      0.0000000     -5.4573434      2.7294139      0.0000000
     0.39180021     0.95329254      0.0000000     -5.6088010      2.3898843      0.0000000
     0.33500582     0.97547268      0.0000000     -5.7397099      2.0425169      0.0000000
     0.27700602     0.99414288      0.0000000     -5.8497272      1.6884855      0.0000000
     0.21801128      1.0092424      0.0000000     -5.9385679      1.3289717      0.0000000
     0.15823466      1.0207223      0.0000000     -6.0060046     0.96516378      0.0000000
    0.097891186      1.0285457      0.0000000     -6.0518669     0.59825440      0.0000000
    0.037197320      1.0326874      0.0000000     -6.0760408     0.22943947      0.0000000
   -0.023629629      1.0331345      0.0000000     -6.0784684    -0.14008341      0.0000000
   -0.084372049      1.0298857      0.0000000     -6.0591480    -0.50911641      0.0000000
    -0.14481259      1.0229521      0.0000000     -6.0181335    -0.87646278      0.0000000
    -0.20473472      1.0123565      0.0000000     -5.9555348     -1.2409283      0.0000000
    -0.26392328     0.99813356      0.0000000     -5.8715178     -1.6013225      0.0000000
    -0.32216508     0.98033003      0.0000000     -5.7663051     -1.9564605      0.0000000
    -0.37924939     0.95900435      0.0000000     -5.6401758     -2.3051643      0.0000000
    -0.43496859     0.93422674      0.0000000     -5.4934666     -2.6462645      0.0000000
    -0.48911872     0.90607906      0.0000000     -5.3265719     -2.9786021      0.0000000
    -0.54150003     0.87465470      0.0000000     -5.1399451     -3.3010306      0.0000000
    -0.59191762     0.84005845      0.0000000     -4.9340987     -3.6124181      0.0000000
    -0.64018200     0.80240634      0.0000000     -4.7096058     -3.9116497      0.0000000
    -0.68610974     0.76182546      0.0000000     -4.4671000     -4.1976300      0.0000000
    -0.72952401     0.71845374      0.0000000     -4.2072771     -4.4692859      0.0000000
    -0.77025528     0.67243974      0.0000000     -3.9308948     -4.7255702      0.0000000
    -0.80814190     0.62394234      0.0000000     -3.6387744     -4.9654645      0.0000000
    -0.84303076     0.57313045      0.0000000     -3.3318003     -5.1879828      0.0000000
    -0.87477791     0.52018268      0.0000000     -3.0109206     -5.3921761      0.0000000
    -0.90324918     0.46528693      0.0000000     -2.6771476     -5.5771360      0.0000000
    -0.92832086     0.40863996      0.0000000     -2.3315568     -5.7419996      0.0000000
    -0.94988031     0.35044693      0.0000000     -1.9752868     -5.8859543      0.0000000
    -0.96782660     0.29092087      0.0000000     -1.6095386     -6.0082426      0.0000000
    -0.98207108     0.23028208      0.0000000     -1.2355735     -6.1081677      0.0000000
    -0.99253807     0.16875752      0.0000000    -0.85471194     -6.1850990      0.0000000
    -0.99916532     0.10658010      0.0000000    -0.46833097     -6.2384777      0.0000000
     -1.0019047    0.043987967      0.0000000   -0.077861106     -6.2678221      0.0000000
     -1.0007225   -0.018776340      0.0000000     0.31521709     -6.2727344      0.0000000
    -0.99560034   -0.081466721      0.0000000     0.70937729     -6.2529053      0.0000000
    -0.98653500    -0.14383445      0.0000000      1.1030523     -6.2081207      0.0000000
    -0.97353930    -0.20562914      0.0000000      1.4946399     -6.1382667      0.0000000
    -0.95664220    -0.26659978      0.0000000      1.8825088     -6.0433346      0.0000000
    -0.93588912    -0.32649583      0.0000000      2.2650063     -5.9234263      0.0000000
    -0.91134208    -0.38506830      0.0000000      2.6404660     -5.7787582      0.0000000
    -0.88307980    -0.44207099      0.0000000      3.0072161     -5.6096655      0.0000000
    -0.85119775    -0.49726161      0.0000000      3.3635889     -5.4166046      0.0000000
    -0.81580802    -0.55040308      0.0000000      3.7079305     -5.2001559      0.0000000
    -0.77703914    -0.60126473      0.0000000      4.0386115     -4.9610250      0.0000000
    -0.73503579    -0.64962358      0.0000000      4.3540373     -4.7000432      0.0000000
    -0.68995840    -0.69526560      0.0000000      4.6526595     -4.4181667      0.0000000
    -0.64198260    -0.73798692      0.0000000      4.9329873     -4.1164748      0.0000000
    -0.59129865    -0.77759509      0.0000000      5.1935990     -3.7961666      0.0000000
    -0.53811062    -0.81391025      0.0000000      5.4331530     -3.4585573      0.0000000
    -0.48263559    -0.84676624      0.0000000      5.6503991     -3.1050718      0.0000000
    -0.42510264    -0.87601169      0.0000000      5.8441891     -2.7372385      0.0000000
    -0.36575181    -0.90151101      0.0000000      6.0134873     -2.3566810      0.0000000
    -0.30483290    -0.92314531      0.0000000      6.1573791     -1.9651086      0.0000000
    -0.24260423    -0.94081318      0.0000000      6.2750800     -1.5643062      0.0000000
    -0.17933129    -0.95443143      0.0000000      6.3659432     -1.1561230      0.0000000
    -0.11528536    -0.96393564      0.0000000      6.4294651    -0.74246019      0.0000000
   -0.050741994    -0.96928063      0.0000000      6.4652907    -0.32525786      0.0000000
    0.014020452    -0.97044080      0.0000000      6.4732173    0.093518206      0.0000000
    0.078722352    -0.96741027      0.0000000      6.4531960     0.51189046      0.0000000
     0.14308437    -0.96020299      0.0000000      6.4053328     0.92788361      0.0000000
     0.20682901    -0.94885260      0.0000000      6.3298872      1.3395386      0.0000000
     0.26968212    -0.93341222      0.0000000      6.2272700      1.7449262      0.0000000
     0.33137441    -0.91395407      0.0000000      6.0980395      2.1421608      0.0000000
     0.39164291    -0.89056900      0.0000000      5.9428958      2.5294126      0.0000000
     0.45023232    -0.86336582      0.0000000      5.7626747      2.9049201      0.0000000
     0.50689640    -0.83247060      0.0000000      5.5583395      3.2670011      0.0000000
     0.56139911    -0.79802580      0.0000000      5.3309726      3.6140627      0.0000000
     0.61351585    -0.76018934      0.0000000      5.0817659      3.9446104      0.0000000
     0.66303443    -0.71913359      0.0000000      4.8120102      4.2572557      0.0000000
     0.70975606    -0.67504423      0.0000000      4.5230844      4.5507231      0.0000000
     0.75349612    -0.62811913      0.0000000      4.2164444      4.8238548      0.0000000
     0.79408494    -0.57856713      0.0000000      3.8936116      5.0756152      0.0000000
     0.83136835    -0.52660683      0.0000000      3.5561612      5.3050931      0.0000000
     0.86520817    -0.47246527      0.0000000      3.2057112      5.5115038      0.0000000
     0.89548258    -0.41637675      0.0000000      2.8439107      5.6941890      0.0000000
     0.92208638    -0.35858149      0.0000000      2.4724298      5.8526163      0.0000000
     0.94493117    -0.29932442      0.0000000      2.0929484      5.9863775      0.0000000
     0.96394535    -0.23885394      0.0000000      1.7071475      6.0951862      0.0000000
     0.97907412    -0.17742070      0.0000000      1.3166989      6.1788740      0.0000000
     0.99027933    -0.11527646      0.0000000     0.92325779      6.2373870      0.0000000
     0.99753928   -0.052672960      0.0000000     0.52845421      6.2707807      0.0000000
      1.0008484    0.010139155      0.0000000     0.13388656      6.2792154      0.0000000
      1.0002170    0.072911349      0.0000000    -0.25888485      6.2629506      0.0000000
     0.99567072     0.13539817      0.0000000    -0.64834326      6.2223391      0.0000000
     0.98725014     0.19735813      0.0000000     -1.0330202      6.1578217      0.0000000
     0.97501031     0.25855460      0.0000000     -1.4114998      6.0699210      0.0000000
     0.95902015     0.31875655      0.0000000     -1.7824216      5.9592353      0.0000000
     0.93936188     0.37773931      0.0000000     -2.1444841      5.8264333      0.0000000
     0.91613046     0.43528522      0.0000000     -2.4964464      5.6722479      0.0000000
     0.88943295     0.49118426      0.0000000     -2.8371301      5.4974707      0.0000000
     0.85938786     0.54523463      0.0000000     -3.1654206      5.3029471      0.0000000
     0.82612454     0.59724321      0.0000000     -3.4802675      5.0895706      0.0000000
     0.78978251     0.64702604      0.0000000     -3.7806855      4.8582784      0.0000000
     0.75051083     0.69440877      0.0000000     -4.0657542      4.6100467      0.0000000
     0.70846743     0.73922698      0.0000000     -4.3346178      4.3458863      0.0000000
     0.66381847     0.78132650      0.0000000     -4.5864852      4.0668391      0.0000000
     0.61673773     0.82056376      0.0000000     -4.8206288      3.7739738      0.0000000
