              x     u_solution   u_analytical  log10(relErr)
    0.019201920     0.15550792     0.15550793     -7.0790944
    0.019301930     0.15623287     0.15623289     -7.0790944
    0.019401940     0.15695700     0.15695702     -7.0790944
    0.019501950     0.15768031     0.15768032     -7.0790944
    0.019601960     0.15840279     0.15840281     -7.0790944
    0.019701970     0.15912446     0.15912447     -7.0790944
    0.019801980     0.15984530     0.15984531     -7.0790944
    0.019901990     0.16056532     0.16056533     -7.0790944
    0.020002000     0.16128452     0.16128453     -7.0790944
    0.020102010     0.16200290     0.16200291     -7.0790944
    0.020202020     0.16272046     0.16272048     -7.0790944
    0.020302030     0.16343721     0.16343722     -7.0790944
    0.020402040     0.16415314     0.16415315     -7.0790944
    0.020502050     0.16486825     0.16486827     -7.0790944
    0.020602060     0.16558255     0.16558257     -7.0790944
    0.020702070     0.16629604     0.16629605     -7.0790944
    0.020802080     0.16700871     0.16700872     -7.0790944
    0.020902090     0.16772057     0.16772058     -7.0790944
    0.021002100     0.16843162     0.16843163     -7.0790944
    0.021102110     0.16914185     0.16914187     -7.0790944
    0.021202120     0.16985128     0.16985130     -7.0790944
    0.021302130     0.17055990     0.17055991     -7.0790944
    0.021402140     0.17126771     0.17126773     -7.0790944
    0.021502150     0.17197471     0.17197473     -7.0790944
    0.021602160     0.17268091     0.17268092     -7.0790944
    0.021702170     0.17338630     0.17338631     -7.0790944
    0.021802180     0.17409088     0.17409090     -7.0790944
    0.021902190     0.17479467     0.17479468     -7.0790944
    0.022002200     0.17549764     0.17549766     -7.0790944
    0.022102210     0.17619982     0.17619983     -7.0790944
    0.022202220     0.17690119     0.17690121     -7.0790944
    0.022302230     0.17760176     0.17760178     -7.0790944
    0.022402240     0.17830153     0.17830155     -7.0790944
    0.022502250     0.17900051     0.17900052     -7.0790944
    0.022602260     0.17969868     0.17969869     -7.0790944
    0.022702270     0.18039605     0.18039607     -7.0790944
    0.022802280     0.18109263     0.18109265     -7.0790944
    0.022902290     0.18178842     0.18178843     -7.0790944
    0.023002300     0.18248340     0.18248342     -7.0790944
    0.023102310     0.18317759     0.18317761     -7.0790944
    0.023202320     0.18387099     0.18387101     -7.0790944
    0.023302330     0.18456360     0.18456361     -7.0790944
    0.023402340     0.18525541     0.18525543     -7.0790944
    0.023502350     0.18594643     0.18594645     -7.0790944
    0.023602360     0.18663666     0.18663668     -7.0790944
    0.023702370     0.18732610     0.18732612     -7.0790944
    0.023802380     0.18801475     0.18801477     -7.0790944
    0.023902390     0.18870262     0.18870263     -7.0790944
    0.024002400     0.18938969     0.18938971     -7.0790944
    0.024102410     0.19007598     0.19007600     -7.0790944
    0.024202420     0.19076149     0.19076150     -7.0790944
    0.024302430     0.19144620     0.19144622     -7.0790944
    0.024402440     0.19213014     0.19213015     -7.0790944
    0.024502450     0.19281329     0.19281330     -7.0790944
    0.024602460     0.19349565     0.19349567     -7.0790944
    0.024702470     0.19417724     0.19417725     -7.0790944
    0.024802480     0.19485804     0.19485806     -7.0790944
