              T              E              M            |M|             Cv              X              A
          2.351     -1.3129375    0.026449631     0.54622702      1.6013799      8.8087765     0.23929218
          2.352      -1.306812   0.0048561566     0.53467415      1.5898523      9.0540371     0.24148593
          2.353     -1.3075987  -0.0016633788     0.53897069      1.5857801      8.8310524     0.24119922
          2.354     -1.3068496   0.0039170253     0.53857627      1.5742796      8.8213554      0.2415023
          2.355      -1.302851    0.019981909     0.53236641      1.5836967      8.9110528     0.24307085
          2.356     -1.3053463   0.0061436667     0.53755444      1.5795573      8.8584611     0.24222917
          2.357     -1.3032254   0.0023853636     0.53472587      1.5817146      8.8890517     0.24308062
          2.358     -1.2980605   -0.037013955     0.52676735       1.577481      9.0047229     0.24498824
          2.359     -1.2985313   -0.031281914     0.52826762      1.5625414      8.8585932      0.2448404
           2.36     -1.2944497  -0.0035697172     0.51972261       1.569187      9.1494663       0.246373
          2.361     -1.2925195  -0.0046084545     0.51780545      1.5567132      9.0349273     0.24708733
          2.362     -1.2924481   -0.015744359     0.51989649        1.54889      8.9582999     0.24719651
          2.363     -1.2900141    -0.01478904     0.51560618      1.5581531      9.0585467     0.24812976
          2.364     -1.2913437   0.0047906111     0.52087512      1.5503455      8.8377298     0.24774513
          2.365      -1.289341   -0.015453601     0.51677844      1.5494746      8.9449733     0.24847925
          2.366     -1.2871807    0.011349934     0.51474272      1.5436552      8.9407303     0.24927122
          2.367      -1.285479    0.034865965     0.51306795      1.5444727      8.9618624     0.25001351
          2.368     -1.2836139   0.0056021667     0.50836319      1.5376509      9.1023228     0.25064719
          2.369     -1.2839451   -0.010739056     0.51119192      1.5365408      8.9508724     0.25061799
           2.37      -1.282411    0.010824071     0.50972128      1.5412276      8.9876141     0.25125839
          2.371     -1.2812301   -0.014638631     0.51055895      1.5270442        8.83055     0.25164661
          2.372     -1.2781584    0.027168636     0.50356979      1.5270423      8.9969967     0.25291244
          2.373     -1.2745163    0.018888838     0.49818453      1.5243986      8.9882007     0.25433685
          2.374     -1.2752275    0.016678864     0.50013108      1.5281444      9.0462837      0.2540357
          2.375     -1.2731009 -0.00016426263     0.49614229      1.5112449      9.0879152     0.25490153
          2.376     -1.2722293   -0.010868545     0.49464313      1.5104473      9.1123668     0.25523774
          2.377      -1.271481  -0.0036867576     0.49575893      1.5118425      9.0106355     0.25560905
          2.378     -1.2694733   0.0058946414     0.49469327      1.5000748      8.9295114     0.25633087
          2.379     -1.2677123    0.018162854     0.49136043      1.4976296      8.9946983     0.25701837
           2.38     -1.2654839   0.0013179949     0.48781001      1.4906571      9.0060603     0.25797888
          2.381     -1.2617134   0.0029125303     0.47965662      1.4976602      9.2207149     0.25936397
          2.382     -1.2634769   -0.014215409      0.4859727      1.4887209      9.0120073     0.25867217
          2.383     -1.2609561   -0.018057217     0.48046115      1.4831182      9.0918872     0.25977969
          2.384     -1.2598457  -0.0034048232     0.48064363      1.4713399      8.9960488     0.26011623
          2.385     -1.2593423   -0.012083828     0.48079977      1.4728858      9.0191659     0.26042288
          2.386      -1.258099    0.016641934     0.48018627       1.475375      8.9686421      0.2607845
          2.387      -1.254187  -0.0035225556     0.47281461       1.459641       8.992347     0.26237324
          2.388      -1.254528     -0.0250835     0.47579543      1.4716185      8.9717968      0.2622821
          2.389     -1.2525343    0.001006303     0.47303438      1.4555528      8.9248091     0.26301638
           2.39     -1.2509662   0.0031719798     0.46972183      1.4590598      9.0254884     0.26379811
          2.391     -1.2509323  -0.0090540404     0.47123851      1.4500754      8.9619989     0.26370551
          2.392     -1.2479654   0.0074826818     0.46713842      1.4326829      8.8707703     0.26488638
          2.393     -1.2463939   0.0056682172     0.46513407      1.4362302      8.8603755     0.26559898
          2.394     -1.2446327  -0.0024960556     0.46215298       1.429917       8.950973     0.26618666
          2.395     -1.2433279   0.0039523889     0.46102303      1.4327061      8.9516155     0.26676818
          2.396     -1.2418131  -0.0083655354      0.4594468      1.4246512      8.8308766     0.26736182
          2.397     -1.2404484   -0.009503096     0.45696618      1.4151968      8.8633264     0.26792887
          2.398     -1.2387901    0.012312263     0.45557435      1.4099725      8.8653036     0.26856922
          2.399     -1.2382747    0.018248247     0.45493641      1.4113575      8.8598791      0.2687868
            2.4     -1.2355444    -0.01376997     0.45070004      1.4105731      8.8478859     0.26990919
